Matrix_Size,Block_Dim_X,Block_Dim_Y,Kernel_Type,Data_Type,Avg_Execution_Time_ms,Execution_Time_Stddev,Total_Energy_J,Avg_Power_W,Peak_Power_W,Baseline_Power_W,Initial_Temp_C,Peak_Temp_C,Final_Temp_C,GFLOPS,GFLOPS_per_Watt,Memory_Bandwidth_GBps,Threads_per_Block
6144,8,8,5,0,1696.177075,12.342528,31.431,124.2,140,91,57,69,0,273.472,2.202,0.267,64
6144,16,16,5,0,1033.522388,2.500316,33.057,132.39,147,98,55,69,0,448.811,3.39,0.438,256
6144,32,32,5,0,760.980298,4.027998,33.627,134.43,149,100,57,69,0,609.551,4.534,0.595,1024
6144,16,32,5,0,522.517627,9.122444,33.154,132.88,147,98,50,69,0,887.734,6.681,0.867,512
6144,32,16,5,0,712.787378,4.262524,34.4835,138.4,153,104,55,69,0,650.764,4.702,0.636,512
8192,8,8,5,0,3995.583203,9.994925,32.1775,129.8,143,94,52,69,0,275.182,2.12,0.202,64
8192,16,16,5,0,2447.524902,2.339893,34.0955,136.89,151,102,50,69,0,449.234,3.282,0.329,256
8192,32,32,5,0,1787.635645,2.721665,33.6875,134.38,149,100,46,69,0,615.065,4.577,0.45,1024
8192,16,32,5,0,1237.879346,2.059521,32.042,127.55,143,94,51,69,0,888.222,6.964,0.651,512
8192,32,16,5,0,1687.109814,1.505078,31.1225,124.76,139,90,69,69,0,651.713,5.224,0.477,512
